사업장번호,사업장명,납부자번호,팩스번호,수신건수,최초수신일,최근수신일,예시파일명(최대3개),매칭비고
BPS010203075,화정은빛6단지 부영1상가,,0151801027719825,1,2026-06-23,2026-06-23,0151801027719825_20260623232140.tif,"자동매칭(고신뢰,account_name,1.00): (덕양)은빛마을6단지상가_BB-H / 화정은빛6단지 부영1상가"
BPS010208007,경신아파트관리사무소,,0151801073731932,1,2026-06-22,2026-06-22,0151801073731932_20260622111150.tif,"자동매칭(Claude비전확인+엑셀대조,고신뢰): 경신아파트관리사무소 / 엑셀사업장명:(파주)경신아파트관리사무소 / 계좌명:경신아파트 [사업장번호:BPS010208007]"
BPD110118077,별빛마을8단지 상가번영회,,0151801087756396,1,2026-06-08,2026-06-08,0151801087756396_20260608165853.tif,"자동매칭(고신뢰,account_name,1.00): (덕양)별빛8단지상가 / 별빛마을8단지상가번영회(월정액 아님!!!)"
BPS010204034,문산중앙상가,0902-83219-0002,0151801089493019,2,2026-05-27,2026-06-24,0151801089493019_20260527170714.tif; 0151801089493019_20260624171817.tif,"자동매칭(고신뢰,site_name,0.92): 문산중앙상가2동902호 / 문산중앙시장"
BPS010201144,백마5단지 쌍용 한성상가,,0151801092477935,2,2026-06-25,2026-06-26,0151801092477935_20260625110748.tif; 0151801092477935_20260626154244.tif,"자동매칭(고신뢰,account_name,1.00): (일산)쌍용한성상가[백마5단지상가_BB-H](청구액) / 백마5단지쌍용한성상가(청구액)"
,래미안남가좌2차,0005-76869-8888,023763736,1,2026-06-19,2026-06-19,023763736_20260619095444.tif,"제외대상(관할 아님, 오수신) - 담당자 확인: 자산운용팀 관할 사업장이 아님(서울 지역 건물로 추정, 경기북부 엑셀양식에 등록 안 됨)."
,고양삼송마을18단지,0102-82953-9999,023819437,1,2026-06-19,2026-06-19,023819437_20260619170906.tif,"제외대상(관할 아님, 오수신) - 담당자 확인: 자산운용팀 관할 사업장이 아님(경기북부 엑셀양식에 등록 안 됨)."
,,,0260086038,1,2026-06-01,2026-06-01,0260086038_20260601083657.tif,제외대상(전기료 고지서 아님) - 자동차등록원부(갑) 등본이 오수신됨. 사업장 매칭 대상 아님.
BPS010402103,용현금용아파트,,0262231286,2,2026-06-22,2026-06-22,0262231286_20260622153440.tif; 0262231286_20260622161627.tif,"자동매칭(고신뢰,account_name,1.00): (의정부)용현금용 / 용현금용아파트"
,세종로대우빌딩,,027340685,1,2026-06-18,2026-06-18,027340685_20260618160435.tif,"제외대상(관할 아님, 오수신) - 담당자 확인: 자산운용팀 관할 사업장이 아님(서울 지역 건물로 추정, 경기북부 엑셀양식에 등록 안 됨)."
,중계3차벽산아파트,,029514608,1,2026-06-24,2026-06-24,029514608_20260624145553.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.93): (구리-덕소)벽산_아파트 / 덕소벽산아파트 [사업장번호:BPS010405027]"
BPS010406049,생연프라자,0199115049999,0314263379,1,2026-06-22,2026-06-22,0314263379_20260622153353.tif,"매칭후보(확인필요-명칭이 너무 일반적(브랜드명 충돌 위험),site_name,0.91): (동두천)-지행 생연프라자-E018(130-81-95641) / 주식회사 세움(9999동199호,생연프라자) / 1월22일 발행한 세금계산서랑 청구서 금액이 다름. 세금계산서 금액으로 입금함 [사업장번호:BPS010406049] | Claude교차확인 추가후보(0.67): BPS010406042 (동두천)_생연건영_아파트(V008)(계좌명:동두천건영아파트(999동102호)) 추정지역:불명"
BPS010404088,창현청구,0102-74593-0999,0315110195,2,2026-05-27,2026-06-29,0315110195_20260527104426.tif; 0315110195_20260629130102.tif,"자동매칭(고신뢰,site_name,1.00): (구리-남양주)창현청구 (999-102) / 창현청구(999동102호)"
BPD110111743,남양주 호평6단지 아파트,,0315110478,1,2026-06-19,2026-06-19,0315110478_20260619101618.tif,"자동매칭(고신뢰,site_name,0.92): (구리-남양주)호평6단지 / 대승종합관리㈜"
