source_file,frame_index,frame_count,doc_index_in_frame,doc_type,site_hint_text,billing_period,usage_start_date,usage_end_date,supply_amount,vat_amount,power_fund_raw,current_period_charge,late_fee,unpaid_amount,unpaid_late_fee,other_fee,due_total_amount,overdue_total_amount,arithmetic_due_status,arithmetic_overdue_status,cross_field_status,cross_field_detail,site_id,site_name,match_method,match_confidence,history_status,history_prev_month_deviation,history_prev_year_deviation,min_field_confidence,notes,error
0151801027719825_20260623232140.tif,0,1,0,관리비고지서,화정은빛6단지 부영1상가,202606,,,,,,51060,,,,,51060,,OK(당월부과액기준),N/A,N/A,,BPS010203075,화정은빛6단지 부영1상가,fax_exact,1.0,이력없음,,,0.8,"전기사용량 255.3KW, 단가 200원 기준 합계 51,060원. 공급가액/부가세 구분 없이 전기요금 합계로만 표기됨. 미수금 칸은 비어있음.",
0151801027719825_20260623232140.tif,1,2,0,관리비고지서,은빛마을6단지 부영1상가,202606,,,,,,51060,1020,0,0,,51060,52080,OK(당월부과액기준),OK(당월부과액기준),OK,,BPS010203075,화정은빛6단지 부영1상가,fax_exact,1.0,이력없음,,,0.6,"미납액/미납연체료 칸은 공란으로 보여 0으로 처리함. 세부항목(인건비, 유지비, 공동전기료, 전기기본요금, 공동수도료 등)은 당월부과액에 합산되어 있어 개별 분해하지 않음.",
0151801073731932_20260622111150.tif,0,1,0,관리비고지서,경신아파트관리사무소 (MDF실 사용 전기료),202606,2026-05-23,2026-06-22,,,,12600,,,,,12600,,OK(당월부과액기준),N/A,N/A,,BPS010208007,경신아파트관리사무소,fax_exact,1.0,이력없음,,,0.9,"MDF실(광통신장비) 전기 사용금액 청구서로, 세금계산서 형식이 아니며 공급가액/부가세 구분 없음. 계(합계) 금액 12,600원을 당월부과액 및 납기내금액으로 처리함.",
0151801087756396_20260608165853.tif,0,1,0,기타,별빛마을8단지 상가번영회,202605,,,,,,28174,,,,,28174,,OK(당월부과액기준),N/A,N/A,,BPD110118077,별빛마을8단지 상가번영회,fax_exact,1.0,이력없음,,,0.7,"전기요금 청구 공문 형식으로, 세금계산서/관리비고지서 표준 서식이 아님. 청구금액 28,174원(12,613+3,481+12,080)을 당월부과액 성격으로 기록. 미납액/연체료 항목 없음.",
0151801089493019_20260527170714.tif,0,1,0,관리비고지서,문산중앙상가 2동 902호,202605,,,13280,1330,,14610,0,0,0,,14610,14610,OK(당월부과액기준),OK(당월부과액기준),OK,,BPS010204034,문산중앙상가,fax_exact,1.0,이력없음,,,0.9,"전기 사용기간 정보 없음. 기본전기료 4,540, 전기료 8,740이 세부항목이며 공급가액 13,280(=4540+8740, 근사)과 부가세 1330 합계로 당월부과액 14,610 구성.",
0151801089493019_20260624171817.tif,1,2,0,관리비고지서,문산중앙상가 KT 16강북네트,202606,,,14610,1460,,16070,,,,,16070,16070,OK(당월부과액기준),OK(당월부과액기준),OK,,BPS010204034,문산중앙상가,fax_exact,1.0,정상,0.0999,,0.9,"전기 사용량 79kWh, 기본전기료 4,540원과 전기사용요금 10,070원 합산 후 부가세 포함하여 당월부과액계 16,070원 산출. 미납액/미납연체료는 공란.",
0151801092477935_20260625110748.tif,0,1,0,관리비고지서,백마5단지 쌍용 한성상가 (전체 합계),202606,2026-06-01,2026-06-30,,,,5464567,,4577529,228876,,10270972,,OK(당월부과액기준),N/A,N/A,,BPS010201144,백마5단지 쌍용 한성상가,fax_exact,1.0,이력없음,,,,"이 표는 상가 전체 세대 목록의 합계 행으로, 여러 호실의 개별 청구서가 하나의 표로 합쳐져 있음. 개별 호실별 청구액은 표 내 각 행 참조 필요. 합계행 기준으로 대표값을 기록함. 부가세/공급가액 항목 없음(관리비 고지서 형식)",
0151801092477935_20260625110748.tif,1,2,0,관리비고지서,쌍용한성상가 118 한성부동산,202606,,,,,,73146,3657,0,0,,73146,76804,OK(당월부과액기준),OK(당월부과액기준),N/A,,BPS010201144,백마5단지 쌍용 한성상가,fax_exact,1.0,이력없음,,,0.9,"당월관리비(당월부과액)=73,146, 전월미수금/미수연체금 0, 계=73,146(납기내금액), 연체료 3,657, 납기후 76,804. 세부항목(전기/수도 등) 미표시 문서.",
0151801092477935_20260626154244.tif,0,1,0,관리비고지서,쌍용한성상가 B107 KT,202606,,,,,,277200,13860,0,0,,277200,291060,OK(당월부과액기준),OK(당월부과액기준),N/A,,BPS010201144,백마5단지 쌍용 한성상가,fax_exact,1.0,이력없음,,,0.9,당월관리비는 세부항목 분해 없이 합계로 한 줄로 인쇄됨. 전월미수금/미수연체금 0.,
023763736_20260619095444.tif,0,1,0,관리비고지서,래미안남가좌2차,202605,,,81220,,,81220,,50220,,,131440,,OK(당월부과액기준),N/A,OK,,,,제외(관할아님/비고지서),0.0,,,,0.85,"당월부과액=전기에너지 81,220원(공동전기료 항목만 표기됨), 미납연체료는 0 또는 미기재로 판단되어 null 처리. 81,220+50,220=131,440으로 산식 일치.",
