poc_results
source_file,frame_index,frame_count,doc_index_in_frame,doc_type,site_hint_text,billing_period,supply_amount,vat_amount,power_fund_raw,late_fee,unpaid_amount,unpaid_late_fee,other_fee,due_total_amount,due_total_amount_human_check,overdue_total_amount,sanity_check,min_field_confidence,notes,result_review,error
0151801027719825_20260623232140.tif,0,2,0,관리비고지서,"화정은빛6단지 부영1상가 (B106호, KT 점포 전기요금)",202606,,,,,,,,51060,O,,N/A,0.85,"전기사용량 255.3KW, 단가 200원 기준 산출표. 공급가액/세액 구분 없이 합계금액만 표기됨. 세금계산서 형식이 아닌 상가 자체 청구서임.",,
0151801027719825_20260623232140.tif,1,2,0,관리비고지서,은빛마을6단지 부영1상가,202606,6620,,,1020,,,,51060,O,52080,불일치(차이 +44440원),0.3,"공동전기료 6,620원은 명세서 내 개별 항목이며, 전체 관리비 당월부과액(납기내금액)은 51,060원. 전기 사용량/지침 등 세부 항목은 공란으로 인쇄되어 있어 확인 불가. 부가세 별도 표기 없음.","공동전기료+전기기본요금+공동수도료+…등등의 항목을 더해서 당일부과액이 나온건데, 이걸 다 찾을필요 없이, 당일부과액+미납액+미납연체료=납기내금액 으로 나온 결과를 최종 지출해야할 금액으로 간주함.
그리고 당월부과액 + 납기후 연체료 = 납기후 금액 이니까 당월부과액 열을 추가해서 추출하면 sanity_check에서도 일치하는 값을 얻을 수 있을것으로 보임.",
0151801073731932_20260622111150.tif,0,1,0,기타,경신아파트관리사무소 - MDF실 사용 전기료 청구건(광통신장비 전기사용금액),202606,12600,,,,,,,12600,O,,OK,0.6,"국세청 표준 세금계산서 서식이 아닌 관리사무소 자체 발행 전기료 청구서(공문 형식)로 부가세 구분 없음. 사용기간은 26.5.23~26.6.22, 납부기한 2026.6.30. 청구년월은 납부기한 기준 202606으로 추정.","사용기간이 “년도/월/일” 정보로 주어질 경우, start_period, end_period 열에 추가해서 엑셀 업로드양식에 덮어쓰기 해야함.",
0151801087756396_20260608165853.tif,0,1,0,수기영수증,별빛마을8단지 상가번영회,202605,28174,,,,,,,28174,O,,OK,0.3,"표준 세금계산서/관리비고지서 서식이 아닌 팩스 공문 형태의 전기요금 청구서. 부가세 별도 표기 없음(전기료 합산 청구). 청구금액 28,174원 = 기본전기료(균등배분) 12,613원 + 기본전기료(사용량) 3,481원 + 12,080원 항목 합계.",,
0151801089493019_20260527170714.tif,0,1,0,관리비고지서,문산중앙상가 2동 902호 KT 16강북네트,202605,13280,1330,,,,,,14610,O,14610,OK,0.9,"여러 구역(관리비 명세서, 납입통지서, 수납의뢰서, 납입영수증)의 값이 모두 일치함(공급가액 13,280 / 부가세 1,330 / 납기내금액 14,610). 전기 사용요금 8,740, 기본전기료 4,540 별도 표기됨.",,
0151801089493019_20260624171817.tif,0,2,,,,,,,,,,,,,O,,,,,,문서 없음(빈 배열)
0151801089493019_20260624171817.tif,1,2,0,관리비고지서,문산중앙상가 2동 902호 KT 16강북네트,202606,14610,1460,,,,,,16070,O,16070,OK,0.9,"관리비 명세서/납입통지서/수납의뢰서/납입영수증 각 구역 금액이 모두 일치함(공급가액 14,610 / 부가세 1,460 / 납기내금액 16,070). 미납액 및 미납연체료는 공란으로 0에 해당.",,
0151801092477935_20260625110748.tif,0,2,0,관리비고지서,백마5단지 쌍용 한성상가 (합계),202606,,,,,4577529,228876,,10270972,-,,불일치(차이 +5464567원),0.1,"이 문서는 다세대 상가 전체 합계표 형태입니다. 개별 호수(101~301 등) 49건이 한 표에 정리되어 있으며, 각 호수별 금액이 상이하여 합계 행(686.0, 전기요금 소계 3,113,305, 수도요금 소계 288,460, 일반관리비 550,172+1,400,126+112,504, 당월합계 5,464,567, 미납금 4,577,529, 연체금 228,876, 청구액 10,270,972)만 대표로 기록함. 개별 세대별 상세 금액은 문서 내 표를 참조해야 하며 이 레코드에는 합계만 반영.",“백마5단지 쌍용 한성상가 (합계)” 문서는 이미 같은 팩스로 청구 내용을 보낸 게 있음. 전체 상가의 관리비 청구서까지 알 필요 없음.,
0151801092477935_20260625110748.tif,1,2,0,관리비고지서,쌍용한성상가 118 한성부동산 (백마5단지 쌍용한성상가),202606,,,,3657,0,0,,73146,-,76804,불일치(차이 +73146원),0.9,관리비 항목이 세부 구분(전기/수도 등) 없이 '당월관리비' 단일 항목으로만 표기되어 supply_amount는 알 수 없음. 부가세 항목 없음.,"“쌍용한성상가 118”은 잘못 수신한 팩스임. 내 담당 관할 사업장이 아님.
‘당월관리비’항목은 ‘당월부과액’ 항목과 유사해보이고, 당월관리비 + 납기지연 시 (연체료) = 납기후 금액의 로직으로 계산해야함
납부액 카테고리에서 ‘전월미수금’과 ‘미수연체금’이 모두 0원이므로 내가 납기 내 당월 부과해야하는 금액은 73146원이 맞음",
0151801092477935_20260626154244.tif,0,1,0,관리비고지서,쌍용한성상가 B107 KT,202606,,,,13860,0,0,,277200,O,291060,불일치(차이 +277200원),0.8,"전기/부가세 항목이 별도로 구분되지 않은 상가 관리비 고지서로, 공급가액/부가세 항목은 확인 불가하여 null 처리함. 당월관리비(277,200)를 납기내금액으로 채택함.",,
