사업장번호,사업장명,납부자번호,팩스번호,수신건수,최초수신일,최근수신일,예시파일명(최대3개),비고
,,,0151801027719825,1,2026-06-23,2026-06-23,0151801027719825_20260623232140.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0151801073731932,1,2026-06-22,2026-06-22,0151801073731932_20260622111150.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0151801087756396,1,2026-06-08,2026-06-08,0151801087756396_20260608165853.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0151801089493019,2,2026-05-27,2026-06-24,0151801089493019_20260527170714.tif; 0151801089493019_20260624171817.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0151801092477935,2,2026-06-25,2026-06-26,0151801092477935_20260625110748.tif; 0151801092477935_20260626154244.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,023763736,1,2026-06-19,2026-06-19,023763736_20260619095444.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,023819437,1,2026-06-19,2026-06-19,023819437_20260619170906.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0260086038,1,2026-06-01,2026-06-01,0260086038_20260601083657.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0262231286,2,2026-06-22,2026-06-22,0262231286_20260622153440.tif; 0262231286_20260622161627.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,027340685,1,2026-06-18,2026-06-18,027340685_20260618160435.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,029514608,1,2026-06-24,2026-06-24,029514608_20260624145553.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0314263379,1,2026-06-22,2026-06-22,0314263379_20260622153353.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315110195,2,2026-05-27,2026-06-29,0315110195_20260527104426.tif; 0315110195_20260629130102.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315110478,1,2026-06-19,2026-06-19,0315110478_20260619101618.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315111708,1,2026-06-22,2026-06-22,0315111708_20260622132948.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315119332,1,2026-06-22,2026-06-22,0315119332_20260622164919.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315120019,1,2026-06-22,2026-06-22,0315120019_20260622162014.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315124744,1,2026-06-22,2026-06-22,0315124744_20260622091403.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315126448,1,2026-06-18,2026-06-18,0315126448_20260618130852.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315127568,1,2026-06-23,2026-06-23,0315127568_20260623172927.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315133500,1,2026-06-23,2026-06-23,0315133500_20260623095344.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315133625,1,2026-06-23,2026-06-23,0315133625_20260623095657.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315140091,1,2026-06-22,2026-06-22,0315140091_20260622100300.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315141367,1,2026-06-22,2026-06-22,0315141367_20260622100043.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315143132,1,2026-06-24,2026-06-24,0315143132_20260624102323.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315147566,1,2026-06-22,2026-06-22,0315147566_20260622091436.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315147723,1,2026-06-22,2026-06-22,0315147723_20260622090517.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315150002,1,2026-06-22,2026-06-22,0315150002_20260622085601.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315150558,2,2026-05-27,2026-06-22,0315150558_20260527171718.tif; 0315150558_20260622142904.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315154076,1,2026-06-26,2026-06-26,0315154076_20260626103422.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315156605,1,2026-06-18,2026-06-18,0315156605_20260618145451.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315158826,1,2026-06-17,2026-06-17,0315158826_20260617091537.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315159097,2,2026-05-27,2026-06-26,0315159097_20260527161844.tif; 0315159097_20260626092122.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315163402,1,2026-06-15,2026-06-15,0315163402_20260615105537.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315164647,1,2026-06-18,2026-06-18,0315164647_20260618111355.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315234096,1,2026-06-24,2026-06-24,0315234096_20260624102225.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315270205,1,2026-06-22,2026-06-22,0315270205_20260622093816.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315270263,1,2026-06-23,2026-06-23,0315270263_20260623171339.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315270991,1,2026-06-22,2026-06-22,0315270991_20260622100750.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315271649,1,2026-06-23,2026-06-23,0315271649_20260623090843.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315272462,1,2026-06-24,2026-06-24,0315272462_20260624100942.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315272481,1,2026-06-23,2026-06-23,0315272481_20260623133018.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315273073,1,2026-06-23,2026-06-23,0315273073_20260623172803.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315280796,1,2026-06-22,2026-06-22,0315280796_20260622091425.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315282016,1,2026-06-23,2026-06-23,0315282016_20260623150946.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315282611,1,2026-06-22,2026-06-22,0315282611_20260622101303.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315283013,2,2026-06-01,2026-06-18,0315283013_20260601152632.tif; 0315283013_20260618115301.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315283249,1,2026-06-23,2026-06-23,0315283249_20260623132626.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315289452,1,2026-06-22,2026-06-22,0315289452_20260622093817.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315296098,1,2026-06-23,2026-06-23,0315296098_20260623101819.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315340994,1,2026-06-19,2026-06-19,0315340994_20260619143411.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315414868,1,2026-06-24,2026-06-24,0315414868_20260624092810.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315416218,1,2026-06-18,2026-06-18,0315416218_20260618112453.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315416968,1,2026-06-19,2026-06-19,0315416968_20260619144347.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315511653,1,2026-06-23,2026-06-23,0315511653_20260623145713.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315512090,2,2026-05-28,2026-06-29,0315512090_20260528152844.tif; 0315512090_20260629112814.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315517395,1,2026-06-24,2026-06-24,0315517395_20260624140246.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315519742,1,2026-06-19,2026-06-19,0315519742_20260619175422.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315523332,1,2026-06-05,2026-06-05,0315523332_20260605141649.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315524183,1,2026-06-18,2026-06-18,0315524183_20260618090414.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315550228,1,2026-06-18,2026-06-18,0315550228_20260618160611.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315551679,1,2026-06-24,2026-06-24,0315551679_20260624152216.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315552063,1,2026-05-29,2026-05-29,0315552063_20260529102550.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315554889,2,2026-06-19,2026-06-23,0315554889_20260619134202.tif; 0315554889_20260623162730.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315564054,1,2026-06-17,2026-06-17,0315564054_20260617111106.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315566172,1,2026-06-23,2026-06-23,0315566172_20260623111459.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315567333,1,2026-06-19,2026-06-19,0315567333_20260619140343.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315578463,1,2026-06-19,2026-06-19,0315578463_20260619151619.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315579288,1,2026-06-19,2026-06-19,0315579288_20260619144703.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315585201,1,2026-06-19,2026-06-19,0315585201_20260619092103.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315593096,1,2026-06-19,2026-06-19,0315593096_20260619092011.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315599523,1,2026-06-08,2026-06-08,0315599523_20260608140339.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315599548,1,2026-06-22,2026-06-22,0315599548_20260622134921.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315629943,1,2026-06-18,2026-06-18,0315629943_20260618152259.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315631060,1,2026-06-23,2026-06-23,0315631060_20260623160323.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315669198,1,2026-06-09,2026-06-09,0315669198_20260609150326.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315670084,1,2026-06-22,2026-06-22,0315670084_20260622140531.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315681755,1,2026-06-19,2026-06-19,0315681755_20260619102458.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315687903,1,2026-06-17,2026-06-17,0315687903_20260617152620.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315692941,1,2026-06-01,2026-06-01,0315692941_20260601182105.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315697339,1,2026-06-19,2026-06-19,0315697339_20260619134047.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315711728,1,2026-06-22,2026-06-22,0315711728_20260622164656.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315727198,1,2026-06-18,2026-06-18,0315727198_20260618144408.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315740412,1,2026-06-23,2026-06-23,0315740412_20260623093304.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315742703,1,2026-06-22,2026-06-22,0315742703_20260622141102.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315748471,1,2026-06-19,2026-06-19,0315748471_20260619163621.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315748625,1,2026-06-18,2026-06-18,0315748625_20260618161956.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315749379,1,2026-06-22,2026-06-22,0315749379_20260622095054.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315750231,1,2026-06-15,2026-06-15,0315750231_20260615152611.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315750244,1,2026-06-24,2026-06-24,0315750244_20260624091521.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315755325,1,2026-06-22,2026-06-22,0315755325_20260622154104.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315757739,1,2026-06-24,2026-06-24,0315757739_20260624092536.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315762432,1,2026-06-23,2026-06-23,0315762432_20260623105627.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315766345,1,2026-06-22,2026-06-22,0315766345_20260622110117.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315766833,1,2026-06-22,2026-06-22,0315766833_20260622113632.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315771206,1,2026-06-24,2026-06-24,0315771206_20260624093836.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315773186,1,2026-06-22,2026-06-22,0315773186_20260622095856.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315777641,2,2026-06-15,2026-06-15,0315777641_20260615105012.tif; 0315777641_20260615110644.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315859027,1,2026-06-23,2026-06-23,0315859027_20260623155459.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315911563,1,2026-06-22,2026-06-22,0315911563_20260622093638.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315920046,1,2026-06-17,2026-06-17,0315920046_20260617091110.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315921158,2,2026-06-22,2026-06-24,0315921158_20260622143830.tif; 0315921158_20260624093550.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315925092,1,2026-06-23,2026-06-23,0315925092_20260623091531.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
,,,0315930894,1,2026-06-19,2026-06-19,0315930894_20260619110111.tif,샘플 1건을 열어 사업장명을 확인 후 채워주세요
